proto,service,spkts,dpkts,sbytes,dbytes,dur,state,attack_cat,label
TCP,http,47,85,1034,7021,0.4304255699776892,FIN,Normal,0
UDP,dns,99,93,1666,4989,0.4565663956766277,INT,Generic,1
TCP,ftp,66,23,2623,6279,0.996378832360782,CON,Exploits,1
UDP,-,36,83,250,7622,0.7222515141018386,REQ,Fuzzers,1
TCP,http,30,44,2978,8365,0.5767133428119275,FIN,Normal,0
UDP,dns,33,72,2369,6860,0.004826856744944208,INT,Generic,1
TCP,ftp,42,95,56,554,0.8488222110055073,CON,Exploits,1
UDP,-,67,59,2597,5382,0.06721460721123185,REQ,Fuzzers,1
TCP,http,14,32,3429,1623,0.8182142736007291,FIN,Normal,0
UDP,dns,20,98,3063,4458,0.4038346273977801,INT,Generic,1
TCP,ftp,12,94,771,3770,0.31566255026022805,CON,Exploits,1
UDP,-,65,40,1519,4720,0.47835107121465026,REQ,Fuzzers,1
TCP,http,98,66,1374,988,0.3083751663937705,FIN,Normal,0
UDP,dns,18,2,4645,7840,0.3547782486374139,INT,Generic,1
TCP,ftp,79,85,4119,2176,0.37833829130850416,CON,Exploits,1
UDP,-,46,38,1465,1398,0.448763131949415,REQ,Fuzzers,1
TCP,http,55,57,1063,9756,0.6267725336570117,FIN,Normal,0
UDP,dns,99,72,2182,5035,0.014991328780281088,INT,Generic,1
TCP,ftp,1,51,1854,8417,0.3249961231451042,CON,Exploits,1
UDP,-,14,22,1170,8807,0.3576434588395493,REQ,Fuzzers,1
TCP,http,3,19,981,7245,0.6552121317749222,FIN,Normal,0
UDP,dns,29,35,2475,2374,0.38682534108779565,INT,Generic,1
TCP,ftp,8,26,2873,9348,0.8051878256806293,CON,Exploits,1
UDP,-,6,55,2174,5743,0.796018348983066,REQ,Fuzzers,1
TCP,http,65,82,2785,4680,0.8475265028762644,FIN,Normal,0
UDP,dns,24,31,103,3835,0.4690005840821416,INT,Generic,1
TCP,ftp,83,13,3225,4099,0.40507261050607557,CON,Exploits,1
UDP,-,91,82,1695,2980,0.05251655215430473,REQ,Fuzzers,1
TCP,http,57,21,947,7935,0.8112967989305896,FIN,Normal,0
UDP,dns,34,81,2305,8969,0.37775862630254187,INT,Generic,1
TCP,ftp,9,28,2600,697,0.7783739992692642,CON,Exploits,1
UDP,-,88,93,2228,2432,0.26425890843023125,REQ,Fuzzers,1
TCP,http,45,46,1497,79,0.9818969189742863,FIN,Normal,0
UDP,dns,23,12,4562,8513,0.3917328975333386,INT,Generic,1
TCP,ftp,88,18,215,9234,0.15395225880822216,CON,Exploits,1
UDP,-,60,25,539,9555,0.7353001681216266,REQ,Fuzzers,1
TCP,http,88,64,2139,4264,0.7551116330397488,FIN,Normal,0
UDP,dns,75,88,757,9343,0.7899693688759571,INT,Generic,1
TCP,ftp,21,46,2791,2750,0.5514088441699059,CON,Exploits,1
UDP,-,43,83,788,4263,0.5877300063216798,REQ,Fuzzers,1
TCP,http,63,64,2758,5983,0.160138846421366,FIN,Normal,0
UDP,dns,20,69,1959,2543,0.12000836675792215,INT,Generic,1
TCP,ftp,42,10,2083,5110,0.9533010448848611,CON,Exploits,1
UDP,-,55,29,4573,6759,0.05596069424117456,REQ,Fuzzers,1
TCP,http,13,74,825,3242,0.8969094700012913,FIN,Normal,0
UDP,dns,39,11,1274,7172,0.6889066981524449,INT,Generic,1
TCP,ftp,37,0,4127,1659,0.7327634553453938,CON,Exploits,1
UDP,-,48,29,208,4913,0.03035841295174735,REQ,Fuzzers,1
TCP,http,21,23,2108,5566,0.36596878562945445,FIN,Normal,0
UDP,dns,27,31,352,5373,0.6501705394965313,INT,Generic,1
TCP,ftp,45,55,1821,8960,0.9109484767908546,CON,Exploits,1
UDP,-,52,4,1333,9191,0.28029701767327997,REQ,Fuzzers,1
TCP,http,86,52,4716,3770,0.3951492781652495,FIN,Normal,0
UDP,dns,66,88,2428,6009,0.5232865152359985,INT,Generic,1
TCP,ftp,92,50,302,3277,0.8746110032355682,CON,Exploits,1
UDP,-,2,48,3093,6445,0.961904490405034,REQ,Fuzzers,1
TCP,http,88,22,538,2043,0.8196750102423325,FIN,Normal,0
UDP,dns,62,80,4161,9532,0.09826043506086934,INT,Generic,1
TCP,ftp,97,2,4496,4115,0.3081106336447085,CON,Exploits,1
UDP,-,3,32,3157,3474,0.26647317569205775,REQ,Fuzzers,1
TCP,http,14,48,1432,9219,0.8682341261774889,FIN,Normal,0
UDP,dns,56,80,2661,7221,0.5145940582903261,INT,Generic,1
TCP,ftp,42,72,464,5029,0.3245438173551779,CON,Exploits,1
UDP,-,27,89,2025,9810,0.8967783374511931,REQ,Fuzzers,1
TCP,http,10,56,4551,4932,0.7971851744497601,FIN,Normal,0
UDP,dns,46,56,2529,716,0.7079286443696766,INT,Generic,1
TCP,ftp,12,46,3270,8130,0.20488327811533613,CON,Exploits,1
UDP,-,60,18,3123,6857,0.05141159201441825,REQ,Fuzzers,1
TCP,http,33,40,3104,1500,0.8748297541709884,FIN,Normal,0
UDP,dns,94,40,4870,1419,0.6813055429021833,INT,Generic,1
TCP,ftp,18,96,1821,2780,0.22355126247972967,CON,Exploits,1
UDP,-,89,31,3612,1894,0.2593959118317035,REQ,Fuzzers,1
TCP,http,63,74,2228,2011,0.5574600058191742,FIN,Normal,0
UDP,dns,85,77,4766,6972,0.5459359654687614,INT,Generic,1
TCP,ftp,30,52,3851,4212,0.8943236244906222,CON,Exploits,1
UDP,-,44,74,2626,3580,0.7319999697999949,REQ,Fuzzers,1
TCP,http,9,55,624,6247,0.5486588221700932,FIN,Normal,0
UDP,dns,19,29,4097,8206,0.33335606960286757,INT,Generic,1
TCP,ftp,14,67,4762,5998,0.4102672020856829,CON,Exploits,1
UDP,-,60,54,46,7418,0.8948395126395662,REQ,Fuzzers,1
TCP,http,82,13,501,5431,0.9054031246310141,FIN,Normal,0
UDP,dns,21,41,1831,6484,0.33463524534282485,INT,Generic,1
TCP,ftp,33,82,1692,8608,0.7437633999064203,CON,Exploits,1
UDP,-,22,80,3923,4040,0.4199020402553211,REQ,Fuzzers,1
TCP,http,20,98,4888,5428,0.05355361003441983,FIN,Normal,0
UDP,dns,40,61,94,8287,0.8509055085143511,INT,Generic,1
TCP,ftp,73,85,175,6768,0.23190493798727485,CON,Exploits,1
UDP,-,43,85,4412,558,0.42185692510024375,REQ,Fuzzers,1
TCP,http,33,12,4239,3291,0.4894778938137829,FIN,Normal,0
UDP,dns,10,23,1219,5969,0.1807998070541862,INT,Generic,1
TCP,ftp,97,61,1055,6171,0.35160161906924026,CON,Exploits,1
UDP,-,16,39,3555,4465,0.5544197146418238,REQ,Fuzzers,1
TCP,http,10,13,2224,7980,0.13249949815010542,FIN,Normal,0
UDP,dns,94,59,751,420,0.5165251628018714,INT,Generic,1
TCP,ftp,26,95,2019,9310,0.9769542825650112,CON,Exploits,1
UDP,-,84,35,1405,284,0.41628627138050356,REQ,Fuzzers,1
TCP,http,48,10,4549,4679,0.8212818508588947,FIN,Normal,0
